"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length"
"PcyM_0220200","PcyM_0220200-t36_1","P. cynomolgi strain M","PcyM_02:817,488..818,267(-)","conserved Plasmodium protein, unknown function","780"
"PcyM_0220300","PcyM_0220300-t36_1","P. cynomolgi strain M","PcyM_02:821,265..823,021(+)","Plasmodium exported protein, unknown function","1458"
"PcyM_0220400","PcyM_0220400-t36_1","P. cynomolgi strain M","PcyM_02:828,699..831,459(+)","Plasmodium exported protein, unknown function","2535"
"PcyM_0220500","PcyM_0220500-t36_1","P. cynomolgi strain M","PcyM_02:834,290..835,693(-)","knob-associated histidine-rich protein, putative","1227"
"PcyM_0220700","PcyM_0220700-t36_1","P. cynomolgi strain M","PcyM_02:838,934..840,914(-)","DnaJ domain containing protein","1263"
"PcyM_0220800","PcyM_0220800-t36_1","P. cynomolgi strain M","PcyM_02:844,079..845,316(-)","Plasmodium exported protein, unknown function","1041"
"PcyM_0220900","PcyM_0220900-t36_1","P. cynomolgi strain M","PcyM_02:848,549..849,767(-)","Plasmodium exported protein, unknown function","1053"
"PcyM_0221000","PcyM_0221000-t36_1","P. cynomolgi strain M","PcyM_02:853,823..854,721(+)","Plasmodium exported protein, unknown function","765"
"PcyM_0221100","PcyM_0221100-t36_1","P. cynomolgi strain M","PcyM_02:856,757..858,465(+)","PIR protein","1344"
"PcyM_0221400","PcyM_0221400-t36_1","P. cynomolgi strain M","PcyM_02:863,138..864,450(-)","PIR protein","1059"
"PcyM_0221500","PcyM_0221500-t36_1","P. cynomolgi strain M","PcyM_02:866,049..867,293(+)","methyltransferase, putative, pseudogene","1242"
"PcyM_0221600","PcyM_0221600-t36_1","P. cynomolgi strain M","PcyM_02:870,662..872,181(+)","PIR protein","1287"
"PcyM_0221700","PcyM_0221700-t36_1","P. cynomolgi strain M","PcyM_02:875,565..877,078(+)","PIR protein","1281"
"PcyM_0221800","PcyM_0221800-t36_1","P. cynomolgi strain M","PcyM_02:880,505..882,042(+)","PIR protein","1317"
"PcyM_0221900","PcyM_0221900-t36_1","P. cynomolgi strain M","PcyM_02:883,435..885,116(+)","PIR protein","1209"
"PcyM_0222000","PcyM_0222000-t36_1","P. cynomolgi strain M","PcyM_02:887,755..889,077(-)","Plasmodium exported protein, unknown function","1134"
"PcyM_0222100","PcyM_0222100-t36_1","P. cynomolgi strain M","PcyM_02:892,844..894,204(-)","PIR protein","1098"
"PcyM_0222150","PcyM_0222150-t36_1","P. cynomolgi strain M","PcyM_02:898,829..899,576(-)","PIR protein, pseudogene","744"
"PcyM_0222200","PcyM_0222200-t36_1","P. cynomolgi strain M","PcyM_02:901,614..903,282(+)","PIR protein","1308"
"PcyM_0222400","PcyM_0222400-t36_1","P. cynomolgi strain M","PcyM_02:908,221..910,057(+)","PIR protein","1410"
"PcyM_0222500","PcyM_0222500-t36_1","P. cynomolgi strain M","PcyM_02:913,031..914,261(-)","PIR protein","954"
"PcyM_0222600","PcyM_0222600-t36_1","P. cynomolgi strain M","PcyM_02:919,660..921,000(+)","PIR protein","1080"
"PcyM_0222700","PcyM_0222700-t36_1","P. cynomolgi strain M","PcyM_02:922,335..923,823(+)","methyltransferase, putative, pseudogene","1488"
"PcyM_0222800","PcyM_0222800-t36_1","P. cynomolgi strain M","PcyM_02:926,557..927,728(+)","PIR protein","921"
"PcyM_0222900","PcyM_0222900-t36_1","P. cynomolgi strain M","PcyM_02:931,030..931,380(+)","PIR protein, pseudogene","351"
"PcyM_0300100","PcyM_0300100-t36_1","P. cynomolgi strain M","PcyM_03:7,072..11,489(+)","STP1 protein","3768"
"PcyM_0300200","PcyM_0300200-t36_1","P. cynomolgi strain M","PcyM_03:13,272..14,627(+)","PIR protein","1236"
"PcyM_0300300","PcyM_0300300-t36_1","P. cynomolgi strain M","PcyM_03:18,640..20,655(+)","PIR protein","1629"
"PcyM_0300400","PcyM_0300400-t36_1","P. cynomolgi strain M","PcyM_03:24,134..25,413(+)","PIR protein","1011"
"PcyM_0300500","PcyM_0300500-t36_1","P. cynomolgi strain M","PcyM_03:26,635..27,921(-)","PIR protein, pseudogene","1026"
"PcyM_0300600","PcyM_0300600-t36_1","P. cynomolgi strain M","PcyM_03:30,103..31,414(-)","PIR protein","1050"
"PcyM_0300700","PcyM_0300700-t36_1","P. cynomolgi strain M","PcyM_03:34,260..35,348(-)","PIR protein","852"
"PcyM_0300800","PcyM_0300800-t36_1","P. cynomolgi strain M","PcyM_03:37,136..38,337(-)","PIR protein","936"
"PcyM_0300900","PcyM_0300900-t36_1","P. cynomolgi strain M","PcyM_03:41,959..43,236(-)","PIR protein","1026"
"PcyM_0300950","PcyM_0300950-t36_1","P. cynomolgi strain M","PcyM_03:46,148..47,494(+)","PIR protein, pseudogene","885"
"PcyM_0301000","PcyM_0301000-t36_1","P. cynomolgi strain M","PcyM_03:51,517..52,673(+)","PIR protein","939"
"PcyM_0301100","PcyM_0301100-t36_1","P. cynomolgi strain M","PcyM_03:55,247..56,370(-)","PIR protein","888"
"PcyM_0301200","PcyM_0301200-t36_1","P. cynomolgi strain M","PcyM_03:63,817..65,065(+)","PIR protein","981"
"PcyM_0301300","PcyM_0301300-t36_1","P. cynomolgi strain M","PcyM_03:70,786..71,660(-)","Plasmodium exported protein, unknown function","714"
"PcyM_0301350","PcyM_0301350-t36_1","P. cynomolgi strain M","PcyM_03:74,540..75,034(-)","Plasmodium exported protein, unknown function, fragment","495"
"PcyM_0301400","PcyM_0301400-t36_1","P. cynomolgi strain M","PcyM_03:75,585..76,825(+)","Plasmodium exported protein, unknown function","1014"
"PcyM_0301500","PcyM_0301500-t36_1","P. cynomolgi strain M","PcyM_03:81,689..82,809(-)","PIR protein","855"
"PcyM_0301600","PcyM_0301600-t36_1","P. cynomolgi strain M","PcyM_03:85,337..86,507(-)","PIR protein, pseudogene, putative","876"
"PcyM_0301700","PcyM_0301700-t36_1","P. cynomolgi strain M","PcyM_03:90,113..91,436(-)","PIR protein","1074"
"PcyM_0301800","PcyM_0301800-t36_1","P. cynomolgi strain M","PcyM_03:98,970..100,381(+)","PIR protein","1164"
"PcyM_0301900","PcyM_0301900-t36_1","P. cynomolgi strain M","PcyM_03:105,392..106,731(+)","PIR protein","1050"
"PcyM_0302000","PcyM_0302000-t36_1","P. cynomolgi strain M","PcyM_03:113,259..114,678(-)","PIR protein","1149"
"PcyM_0302100","PcyM_0302100-t36_1","P. cynomolgi strain M","PcyM_03:120,046..121,616(-)","PIR protein","1317"
"PcyM_0302200","PcyM_0302200-t36_1","P. cynomolgi strain M","PcyM_03:130,108..131,284(+)","PIR protein","945"
"PcyM_0302300","PcyM_0302300-t36_1","P. cynomolgi strain M","PcyM_03:132,949..133,950(-)","PIR protein, pseudogene, putative","876"
"PcyM_0302400","PcyM_0302400-t36_1","P. cynomolgi strain M","PcyM_03:139,258..140,835(-)","PIR protein","1314"
"PcyM_0302500","PcyM_0302500-t36_1","P. cynomolgi strain M","PcyM_03:144,837..145,903(-)","PIR protein, pseudogene","966"
"PcyM_0302550","PcyM_0302550-t36_1","P. cynomolgi strain M","PcyM_03:150,192..151,036(-)","PIR protein","720"
"PcyM_0302600","PcyM_0302600-t36_1","P. cynomolgi strain M","PcyM_03:156,006..157,356(-)","PIR protein","1104"
"PcyM_0302700","PcyM_0302700-t36_1","P. cynomolgi strain M","PcyM_03:160,252..161,653(+)","methyltransferase, putative, pseudogene","1401"
"PcyM_0303000","PcyM_0303000-t36_1","P. cynomolgi strain M","PcyM_03:163,431..164,526(+)","PIR protein, pseudogene","996"
"PcyM_0303100","PcyM_0303100-t36_1","P. cynomolgi strain M","PcyM_03:168,590..170,081(+)","PIR protein, pseudogene","1248"
"PcyM_0303200","PcyM_0303200-t36_1","P. cynomolgi strain M","PcyM_03:176,389..178,022(-)","PIR protein","1389"
"PcyM_0303250","PcyM_0303250-t36_1","P. cynomolgi strain M","PcyM_03:181,687..182,679(+)","PIR protein, pseudogene","807"
"PcyM_0303270","PcyM_0303270-t36_1","P. cynomolgi strain M","PcyM_03:182,680..183,055(-)","PIR protein, pseudogene","375"
"PcyM_0303300","PcyM_0303300-t36_1","P. cynomolgi strain M","PcyM_03:186,216..187,707(-)","PIR protein","1248"
"PcyM_0303350","PcyM_0303350-t36_1","P. cynomolgi strain M","PcyM_03:191,389..192,371(+)","PIR protein, pseudogene","804"
"PcyM_0303370","PcyM_0303370-t36_1","P. cynomolgi strain M","PcyM_03:192,379..192,759(-)","PIR protein, pseudogene","381"
"PcyM_0303400","PcyM_0303400-t36_1","P. cynomolgi strain M","PcyM_03:195,556..197,066(-)","PIR protein","1266"
"PcyM_0303450","PcyM_0303450-t36_1","P. cynomolgi strain M","PcyM_03:199,944..200,881(+)","PIR protein, pseudogene","804"
"PcyM_0303500","PcyM_0303500-t36_1","P. cynomolgi strain M","PcyM_03:204,641..205,792(+)","Plasmodium exported protein, unknown function","1017"
"PcyM_0303600","PcyM_0303600-t36_1","P. cynomolgi strain M","PcyM_03:210,452..211,735(+)","Plasmodium exported protein, unknown function","1143"
"PcyM_0303700","PcyM_0303700-t36_1","P. cynomolgi strain M","PcyM_03:215,992..216,977(+)","Plasmodium exported protein, unknown function","849"
"PcyM_0303800","PcyM_0303800-t36_1","P. cynomolgi strain M","PcyM_03:220,967..221,803(+)","Plasmodium exported protein, unknown function","696"
"PcyM_0303900","PcyM_0303900-t36_1","P. cynomolgi strain M","PcyM_03:223,663..225,572(-)","PIR protein","1644"
"PcyM_0304000","PcyM_0304000-t36_1","P. cynomolgi strain M","PcyM_03:226,836..230,015(-)","PIR protein","2562"
"PcyM_0304100","PcyM_0304100-t36_1","P. cynomolgi strain M","PcyM_03:234,535..235,284(+)","Plasmodium exported protein, unknown function","633"
"PcyM_0304200","PcyM_0304200-t36_1","P. cynomolgi strain M","PcyM_03:237,931..238,794(+)","Plasmodium exported protein, unknown function","744"
"PcyM_0304300","PcyM_0304300-t36_1","P. cynomolgi strain M","PcyM_03:245,258..246,048(+)","Plasmodium exported protein, unknown function","675"
"PcyM_0304400","PcyM_0304400-t36_1","P. cynomolgi strain M","PcyM_03:248,295..249,656(+)","Plasmodium exported protein, unknown function, pseudogene","1245"
"PcyM_0304600","PcyM_0304600-t36_1","P. cynomolgi strain M","PcyM_03:251,971..252,940(+)","Plasmodium exported protein, unknown function","768"
"PcyM_0304700","PcyM_0304700-t36_1","P. cynomolgi strain M","PcyM_03:253,786..253,859(+)","tRNA Asparagine","74"
"PcyM_0304800","PcyM_0304800-t36_1","P. cynomolgi strain M","PcyM_03:254,433..256,244(-)","regulator of chromosome condensation, putative","1812"
"PcyM_0304900","PcyM_0304900-t36_1","P. cynomolgi strain M","PcyM_03:257,451..258,737(+)","conserved Plasmodium protein, unknown function","1287"
"PcyM_0305000","PcyM_0305000-t36_1","P. cynomolgi strain M","PcyM_03:259,310..260,392(-)","conserved Plasmodium protein, unknown function","447"
"PcyM_0305100","PcyM_0305100-t36_1","P. cynomolgi strain M","PcyM_03:262,345..273,802(+)","conserved Plasmodium protein, unknown function","10953"
"PcyM_0305200","PcyM_0305200-t36_1","P. cynomolgi strain M","PcyM_03:275,774..276,925(+)","ubiquitin specific protease, putative","1152"
"PcyM_0305300","PcyM_0305300-t36_1","P. cynomolgi strain M","PcyM_03:279,541..282,210(+)","conserved Plasmodium protein, unknown function","2670"
"PcyM_0305400","PcyM_0305400-t36_1","P. cynomolgi strain M","PcyM_03:284,134..286,884(-)","conserved Plasmodium protein, unknown function","2574"
"PcyM_0305500","PcyM_0305500-t36_1","P. cynomolgi strain M","PcyM_03:294,514..297,760(-)","CGI-201 protein, short form, putative","2148"
"PcyM_0305600","PcyM_0305600-t36_1","P. cynomolgi strain M","PcyM_03:300,698..303,304(-)","alpha/beta hydrolase, putative","2607"
"PcyM_0305700","PcyM_0305700-t36_1","P. cynomolgi strain M","PcyM_03:310,251..314,771(+)","SET domain protein, putative","4335"
"PcyM_0305800","PcyM_0305800-t36_1","P. cynomolgi strain M","PcyM_03:315,417..315,934(-)","conserved Plasmodium protein, unknown function","288"
"PcyM_0305900","PcyM_0305900-t36_1","P. cynomolgi strain M","PcyM_03:317,309..329,023(-)","transcription factor with AP2 domain(s), putative","11565"
"PcyM_0306100","PcyM_0306100-t36_1","P. cynomolgi strain M","PcyM_03:332,542..333,249(-)","conserved Plasmodium protein, unknown function","510"
"PcyM_0306300","PcyM_0306300-t36_1","P. cynomolgi strain M","PcyM_03:334,341..337,716(-)","conserved Plasmodium protein, unknown function","1773"
"PcyM_0306400","PcyM_0306400-t36_1","P. cynomolgi strain M","PcyM_03:340,081..341,133(-)","6-cysteine protein","1053"
"PcyM_0306500","PcyM_0306500-t36_1","P. cynomolgi strain M","PcyM_03:343,259..344,728(-)","6-cysteine protein","1470"
"PcyM_0306600","PcyM_0306600-t36_1","P. cynomolgi strain M","PcyM_03:346,408..347,514(-)","6-cysteine protein, putative","1107"
"PcyM_0306700","PcyM_0306700-t36_1","P. cynomolgi strain M","PcyM_03:355,406..369,043(+)","conserved Plasmodium protein, unknown function","13638"
"PcyM_0306800","PcyM_0306800-t36_1","P. cynomolgi strain M","PcyM_03:369,442..372,009(-)","dipeptidyl aminopeptidase 3, putative","2403"
"PcyM_0306900","PcyM_0306900-t36_1","P. cynomolgi strain M","PcyM_03:372,964..375,153(-)","conserved Plasmodium protein, unknown function","2040"
"PcyM_0307000","PcyM_0307000-t36_1","P. cynomolgi strain M","PcyM_03:376,700..377,845(-)","6-cysteine protein","1146"
"PcyM_0307100","PcyM_0307100-t36_1","P. cynomolgi strain M","PcyM_03:379,288..381,256(-)","ATP-dependent RNA helicase protein, putative","1635"
"PcyM_0307200","PcyM_0307200-t36_1","P. cynomolgi strain M","PcyM_03:382,636..388,164(-)","protein transport protein Sec24B, putative","4785"
"PcyM_0307400","PcyM_0307400-t36_1","P. cynomolgi strain M","PcyM_03:392,205..395,314(+)","ag-1 blood stage membrane protein homologue","1599"
"PcyM_0307500","PcyM_0307500-t36_1","P. cynomolgi strain M","PcyM_03:396,381..403,880(-)","6-cysteine protein","7500"
"PcyM_0307600","PcyM_0307600-t36_1","P. cynomolgi strain M","PcyM_03:407,707..416,951(+)","pre-mRNA-processing-splicing factor 8, putative","9111"
"PcyM_0307700","PcyM_0307700-t36_1","P. cynomolgi strain M","PcyM_03:417,585..418,500(-)","conserved Plasmodium protein, unknown function","675"
"PcyM_0307800","PcyM_0307800-t36_1","P. cynomolgi strain M","PcyM_03:419,424..421,925(+)","conserved Plasmodium protein, unknown function","948"
"PcyM_0308000","PcyM_0308000-t36_1","P. cynomolgi strain M","PcyM_03:422,474..429,178(-)","lysine decarboxylase, putative","6705"
"PcyM_0308100","PcyM_0308100-t36_1","P. cynomolgi strain M","PcyM_03:433,177..433,491(+)","conserved Plasmodium protein, unknown function","315"
"PcyM_0308200","PcyM_0308200-t36_1","P. cynomolgi strain M","PcyM_03:434,559..437,440(-)","rhoptry neck protein 1","2286"
"PcyM_0308300","PcyM_0308300-t36_1","P. cynomolgi strain M","PcyM_03:440,476..442,092(+)","conserved Plasmodium protein, unknown function","1617"
"PcyM_0308400","PcyM_0308400-t36_1","P. cynomolgi strain M","PcyM_03:443,370..445,003(-)","vacuolar ATP synthase subunit b, putative","1485"
"PcyM_0308500","PcyM_0308500-t36_1","P. cynomolgi strain M","PcyM_03:448,828..449,235(+)","sexual stage antigen s16, putative","408"
"PcyM_0308600","PcyM_0308600-t36_1","P. cynomolgi strain M","PcyM_03:450,902..453,093(+)","cytosolic glyoxalase II, putative","792"
"PcyM_0308800","PcyM_0308800-t36_1","P. cynomolgi strain M","PcyM_03:453,802..457,069(-)","NYN domain-containing protein, putative","3090"
"PcyM_0308900","PcyM_0308900-t36_1","P. cynomolgi strain M","PcyM_03:460,797..461,216(+)","conserved Plasmodium protein, unknown function","420"
"PcyM_0309000","PcyM_0309000-t36_1","P. cynomolgi strain M","PcyM_03:462,125..466,564(+)","conserved Plasmodium protein, unknown function","2559"
"PcyM_0309100","PcyM_0309100-t36_1","P. cynomolgi strain M","PcyM_03:466,659..468,378(-)","ribosomal protein L25, putative","858"
"PcyM_0309200","PcyM_0309200-t36_1","P. cynomolgi strain M","PcyM_03:469,227..478,015(-)","conserved Plasmodium protein, unknown function","7341"
"PcyM_0309300","PcyM_0309300-t36_1","P. cynomolgi strain M","PcyM_03:478,970..480,166(-)","conserved Plasmodium protein, unknown function","1197"
"PcyM_0309400","PcyM_0309400-t36_1","P. cynomolgi strain M","PcyM_03:481,068..482,232(+)","methyltransferase, putative","966"
"PcyM_0309600","PcyM_0309600-t36_1","P. cynomolgi strain M","PcyM_03:482,739..483,971(-)","peptidyl-tRNA hydrolase 2, putative","579"
"PcyM_0309700","PcyM_0309700-t36_1","P. cynomolgi strain M","PcyM_03:485,675..487,846(+)","transcription factor, putative","2172"
"PcyM_0309800","PcyM_0309800-t36_1","P. cynomolgi strain M","PcyM_03:488,852..489,226(-)","conserved Plasmodium protein, unknown function","375"
"PcyM_0309900","PcyM_0309900-t36_1","P. cynomolgi strain M","PcyM_03:491,559..493,000(+)","mitochondrial carrier protein, putative","1143"
"PcyM_0310000","PcyM_0310000-t36_1","P. cynomolgi strain M","PcyM_03:495,467..499,609(+)","conserved Plasmodium protein, unknown function","4143"
"PcyM_0310100","PcyM_0310100-t36_1","P. cynomolgi strain M","PcyM_03:500,410..506,628(-)","conserved Plasmodium protein, unknown function","5214"
"PcyM_0310200","PcyM_0310200-t36_1","P. cynomolgi strain M","PcyM_03:509,032..514,446(+)","conserved Plasmodium protein, unknown function","5415"
"PcyM_0310300","PcyM_0310300-t36_1","P. cynomolgi strain M","PcyM_03:514,946..517,180(-)","AAA family ATPase, putative","2235"
"PcyM_0310400","PcyM_0310400-t36_1","P. cynomolgi strain M","PcyM_03:518,246..518,767(-)","conserved Plasmodium protein, unknown function","522"
"PcyM_0310500","PcyM_0310500-t36_1","P. cynomolgi strain M","PcyM_03:521,813..524,962(+)","conserved Plasmodium protein, unknown function","3150"
"PcyM_0310600","PcyM_0310600-t36_1","P. cynomolgi strain M","PcyM_03:526,009..527,853(+)","conserved Plasmodium protein, unknown function","1845"
"PcyM_0310700","PcyM_0310700-t36_1","P. cynomolgi strain M","PcyM_03:528,440..530,647(-)","zinc finger, RAN binding protein, putative","1098"
"PcyM_0310800","PcyM_0310800-t36_1","P. cynomolgi strain M","PcyM_03:532,024..534,114(-)","conserved Plasmodium protein, unknown function","1707"
"PcyM_0310900","PcyM_0310900-t36_1","P. cynomolgi strain M","PcyM_03:535,318..537,171(-)","flap endonuclease 1, putative","1854"
"PcyM_0311100","PcyM_0311100-t36_1","P. cynomolgi strain M","PcyM_03:541,488..544,481(+)","sporozoite invasion-associated protein 1, putative","2994"
"PcyM_0311200","PcyM_0311200-t36_1","P. cynomolgi strain M","PcyM_03:545,678..549,600(-)","perforin-like protein 1","2559"
"PcyM_0311300","PcyM_0311300-t36_1","P. cynomolgi strain M","PcyM_03:551,873..552,877(-)","conserved Plasmodium protein, unknown function","1005"
"PcyM_0311400","PcyM_0311400-t36_1","P. cynomolgi strain M","PcyM_03:554,475..557,473(+)","tRNA N6-adenosine threonylcarbamoyltransferase, putative","2181"
"PcyM_0311500","PcyM_0311500-t36_1","P. cynomolgi strain M","PcyM_03:558,226..564,942(-)","conserved Plasmodium protein, unknown function","6717"
"PcyM_0311600","PcyM_0311600-t36_1","P. cynomolgi strain M","PcyM_03:565,991..567,867(-)","U4/U6 small nuclear ribonucleoprotein PRP31, putative","1647"
"PcyM_0311700","PcyM_0311700-t36_1","P. cynomolgi strain M","PcyM_03:568,906..570,384(+)","protein SOF1, putative","1479"
"PcyM_0311800","PcyM_0311800-t36_1","P. cynomolgi strain M","PcyM_03:571,140..574,150(-)","conserved Plasmodium protein, unknown function","2724"
"PcyM_0311900","PcyM_0311900-t36_1","P. cynomolgi strain M","PcyM_03:575,663..577,648(+)","heat shock protein 40, putative","1986"
"PcyM_0312000","PcyM_0312000-t36_1","P. cynomolgi strain M","PcyM_03:578,168..579,639(-)","conserved Plasmodium protein, unknown function","1248"
"PcyM_0312200","PcyM_0312200-t36_1","P. cynomolgi strain M","PcyM_03:581,506..585,120(-)","replication protein A1, large subunit, putative","3615"
"PcyM_0312300","PcyM_0312300-t36_1","P. cynomolgi strain M","PcyM_03:586,891..588,108(+)","peptide chain release factor 2, putative","591"
"PcyM_0312400","PcyM_0312400-t36_1","P. cynomolgi strain M","PcyM_03:590,361..591,941(+)","zinc finger protein, putative","1581"
"PcyM_0312500","PcyM_0312500-t36_1","P. cynomolgi strain M","PcyM_03:592,530..594,818(-)","actin-like protein, putative","1245"
"PcyM_0312600","PcyM_0312600-t36_1","P. cynomolgi strain M","PcyM_03:596,721..599,277(-)","erythrocyte vesicle protein 1, putative","2421"
"PcyM_0312620","PcyM_0312620-t36_1","P. cynomolgi strain M","PcyM_03:601,686..601,767(+)","tRNA Serine","82"
"PcyM_0312640","PcyM_0312640-t36_1","P. cynomolgi strain M","PcyM_03:603,088..603,160(-)","tRNA Isoleucine","73"
"PcyM_0312700","PcyM_0312700-t36_1","P. cynomolgi strain M","PcyM_03:604,314..607,534(-)","protein phosphatase PPM1, putative","2889"
"PcyM_0312800","PcyM_0312800-t36_1","P. cynomolgi strain M","PcyM_03:610,670..611,656(+)","exosome complex component RRP4, putative","987"
"PcyM_0312900","PcyM_0312900-t36_1","P. cynomolgi strain M","PcyM_03:612,102..612,719(-)","conserved Plasmodium protein, unknown function","618"
"PcyM_0313000","PcyM_0313000-t36_1","P. cynomolgi strain M","PcyM_03:614,703..616,190(+)","conserved Plasmodium protein, unknown function","981"
"PcyM_0313100","PcyM_0313100-t36_1","P. cynomolgi strain M","PcyM_03:616,886..619,303(-)","ribosome biogenesis GTPase A, putative","2418"
"PcyM_0313200","PcyM_0313200-t36_1","P. cynomolgi strain M","PcyM_03:621,705..625,919(+)","conserved Plasmodium protein, unknown function","4215"
"PcyM_0313300","PcyM_0313300-t36_1","P. cynomolgi strain M","PcyM_03:626,464..629,100(-)","conserved Plasmodium protein, unknown function","2637"
"PcyM_0313400","PcyM_0313400-t36_1","P. cynomolgi strain M","PcyM_03:631,840..635,523(+)","conserved Plasmodium protein, unknown function","3684"
"PcyM_0313500","PcyM_0313500-t36_1","P. cynomolgi strain M","PcyM_03:636,273..636,875(-)","conserved Plasmodium protein, unknown function","603"
"PcyM_0313600","PcyM_0313600-t36_1","P. cynomolgi strain M","PcyM_03:637,226..640,402(-)","conserved Plasmodium protein, unknown function","3177"
"PcyM_0313700","PcyM_0313700-t36_1","P. cynomolgi strain M","PcyM_03:641,416..643,464(+)","conserved Plasmodium protein, unknown function","2049"
"PcyM_0313800","PcyM_0313800-t36_1","P. cynomolgi strain M","PcyM_03:643,658..647,254(-)","DEAD box ATP-dependent RNA helicase, putative","3597"
"PcyM_0313900","PcyM_0313900-t36_1","P. cynomolgi strain M","PcyM_03:647,895..647,966(+)","tRNA Alanine","72"
"PcyM_0314000","PcyM_0314000-t36_1","P. cynomolgi strain M","PcyM_03:648,696..648,767(-)","tRNA Glutamic acid","72"
"PcyM_0314100","PcyM_0314100-t36_1","P. cynomolgi strain M","PcyM_03:649,250..649,729(-)","conserved Plasmodium protein, unknown function","480"
"PcyM_0314200","PcyM_0314200-t36_1","P. cynomolgi strain M","PcyM_03:650,661..656,231(-)","conserved Plasmodium protein, unknown function","5571"
"PcyM_0314400","PcyM_0314400-t36_1","P. cynomolgi strain M","PcyM_03:657,609..670,683(-)","conserved Plasmodium protein, unknown function","11715"
"PcyM_0314500","PcyM_0314500-t36_1","P. cynomolgi strain M","PcyM_03:671,258..677,623(-)","DNA polymerase alpha catalytic subunit A, putative","5505"
"PcyM_0314800","PcyM_0314800-t36_1","P. cynomolgi strain M","PcyM_03:680,511..682,544(+)","conserved Plasmodium protein, unknown function","2034"
"PcyM_0314900","PcyM_0314900-t36_1","P. cynomolgi strain M","PcyM_03:684,185..685,282(-)","30S ribosomal protein S12, putative","1098"
"PcyM_0315000","PcyM_0315000-t36_1","P. cynomolgi strain M","PcyM_03:686,038..687,219(-)","conserved Plasmodium protein, unknown function","1182"
"PcyM_0315100","PcyM_0315100-t36_1","P. cynomolgi strain M","PcyM_03:688,088..689,050(+)","phosphopantothenoylcysteine synthetase, putative","963"
"PcyM_0315200","PcyM_0315200-t36_1","P. cynomolgi strain M","PcyM_03:691,340..694,768(+)","RNA-binding protein, putative","3429"
"PcyM_0315300","PcyM_0315300-t36_1","P. cynomolgi strain M","PcyM_03:695,976..699,023(-)","protein SDA1, putative","3048"
"PcyM_0315500","PcyM_0315500-t36_1","P. cynomolgi strain M","PcyM_03:700,590..702,233(+)","conserved Plasmodium protein, unknown function","1644"
"PcyM_0315600","PcyM_0315600-t36_1","P. cynomolgi strain M","PcyM_03:704,620..706,403(+)","conserved Plasmodium protein, unknown function","1557"
"PcyM_0315700","PcyM_0315700-t36_1","P. cynomolgi strain M","PcyM_03:707,654..709,043(+)","transcription initiation factor IIA subunit 1, putative","519"
"PcyM_0315800","PcyM_0315800-t36_1","P. cynomolgi strain M","PcyM_03:709,305..712,274(+)","conserved Plasmodium protein, unknown function","1509"
"PcyM_0315900","PcyM_0315900-t36_1","P. cynomolgi strain M","PcyM_03:712,834..714,567(+)","cysteine desulfurase, putative","1560"
"PcyM_0316000","PcyM_0316000-t36_1","P. cynomolgi strain M","PcyM_03:715,265..718,522(+)","conserved Plasmodium protein, unknown function","3258"
"PcyM_0316100","PcyM_0316100-t36_1","P. cynomolgi strain M","PcyM_03:719,017..720,451(-)","eukaryotic translation initiation factor 3 subunit 2, putative","984"
"PcyM_0316200","PcyM_0316200-t36_1","P. cynomolgi strain M","PcyM_03:725,186..726,154(+)","drug metabolite transporter, putative","969"
"PcyM_0316300","PcyM_0316300-t36_1","P. cynomolgi strain M","PcyM_03:728,092..731,676(+)","conserved Plasmodium protein, unknown function","906"
"PcyM_0316400","PcyM_0316400-t36_1","P. cynomolgi strain M","PcyM_03:732,673..735,555(+)","conserved Plasmodium protein, unknown function","2679"
"PcyM_0316500","PcyM_0316500-t36_1","P. cynomolgi strain M","PcyM_03:735,766..737,120(-)","conserved Plasmodium protein, unknown function","1104"
"PcyM_0316600","PcyM_0316600-t36_1","P. cynomolgi strain M","PcyM_03:738,648..740,448(+)","transcription initiation factor IIE, alpha subunit, putative","1182"
"PcyM_0316700","PcyM_0316700-t36_1","P. cynomolgi strain M","PcyM_03:742,165..744,567(+)","queuine tRNA-ribosyltransferase, putative","2403"
"PcyM_0316800","PcyM_0316800-t36_1","P. cynomolgi strain M","PcyM_03:747,526..749,289(+)","calcium-dependent protein kinase 4, putative","1590"
"PcyM_0316900","PcyM_0316900-t36_1","P. cynomolgi strain M","PcyM_03:750,367..754,671(-)","conserved Plasmodium protein, unknown function","2823"
"PcyM_0317000","PcyM_0317000-t36_1","P. cynomolgi strain M","PcyM_03:757,187..759,115(-)","serine--tRNA ligase, putative","1929"
"PcyM_0317100","PcyM_0317100-t36_1","P. cynomolgi strain M","PcyM_03:760,772..765,382(-)","conserved Plasmodium protein, unknown function","4611"
"PcyM_0317200","PcyM_0317200-t36_1","P. cynomolgi strain M","PcyM_03:766,805..769,359(-)","thioredoxin, putative","1404"
"PcyM_0317300","PcyM_0317300-t36_1","P. cynomolgi strain M","PcyM_03:770,805..789,086(-)","dynein heavy chain, putative","16059"
"PcyM_0317800","PcyM_0317800-t36_1","P. cynomolgi strain M","PcyM_03:790,476..798,563(-)","exported serine/threonine protein kinase, putative","8088"
"PcyM_0318000","PcyM_0318000-t36_1","P. cynomolgi strain M","PcyM_03:810,142..818,790(-)","cysteine repeat modular protein 2, putative","7611"
