"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Transcript Length","Is Pseudo"
"PocGH01_00191700","PocGH01_00191700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_495:15,599..16,760(-)","PIR protein, pseudogene","1038","Yes"
"PocGH01_00191900","PocGH01_00191900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_495:19,436..21,035(-)","PIR protein","957","No"
"PocGH01_00192000","PocGH01_00192000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_495:23,662..25,505(-)","PIR protein","1455","No"
"PocGH01_00192100","PocGH01_00192100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_495:32,390..35,607(+)","PIR protein, pseudogene","2646","Yes"
"PocGH01_00192200","PocGH01_00192200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_495:39,467..40,832(-)","PIR protein","1218","No"
"PocGH01_00192300","PocGH01_00192300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_495:44,567..45,641(-)","PIR protein","645","No"
"PocGH01_00192400","PocGH01_00192400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_495:48,293..49,638(-)","PIR protein, pseudogene","966","Yes"
"PocGH01_00192450","PocGH01_00192450.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_495:52,050..52,988(-)","PIR protein, pseudogene","813","Yes"
"PocGH01_00192500","PocGH01_00192500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_495:57,347..58,127(+)","Plasmodium exported protein, unknown function","672","No"
"PocGH01_00192600","PocGH01_00192600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_497:948..3,048(+)","PIR protein","1602","No"
"PocGH01_00192700","PocGH01_00192700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_498:209..960(+)","PIR protein","576","No"
"PocGH01_00192800","PocGH01_00192800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_499:227..1,463(-)","PIR protein","969","No"
"PocGH01_00192900","PocGH01_00192900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_500:1,764..2,776(+)","PIR protein, pseudogene","888","Yes"
"PocGH01_00193100","PocGH01_00193100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_501:817..2,051(+)","PIR protein","978","No"
"PocGH01_00193200","PocGH01_00193200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_502:626..1,944(+)","PIR protein, pseudogene","1026","Yes"
"PocGH01_00193400","PocGH01_00193400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_503:73..1,346(-)","PIR protein","1020","No"
"PocGH01_00193500","PocGH01_00193500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_504:3..897(+)","PIR protein","720","No"
"PocGH01_00193600","PocGH01_00193600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:1,423..2,423(-)","PIR protein","876","No"
"PocGH01_00193700","PocGH01_00193700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:5,687..6,944(-)","PIR protein","990","No"
"PocGH01_00193800","PocGH01_00193800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:9,651..10,943(-)","PIR protein","1056","No"
"PocGH01_00193900","PocGH01_00193900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:14,954..16,204(-)","PIR protein","987","No"
"PocGH01_00194000","PocGH01_00194000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:19,441..19,959(-)","hypothetical protein","225","No"
"PocGH01_00194100","PocGH01_00194100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:22,880..24,082(-)","PIR protein","942","No"
"PocGH01_00194200","PocGH01_00194200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:28,128..29,609(-)","PIR protein","1002","No"
"PocGH01_00194300","PocGH01_00194300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:31,578..32,765(-)","PIR protein, pseudogene","1062","Yes"
"PocGH01_00194400","PocGH01_00194400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:36,380..37,651(-)","PIR protein, pseudogene","792","Yes"
"PocGH01_00194500","PocGH01_00194500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:39,804..41,040(-)","PIR protein","987","No"
"PocGH01_00194600","PocGH01_00194600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:43,577..44,690(-)","PIR protein, pseudogene","993","Yes"
"PocGH01_00194800","PocGH01_00194800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:49,389..50,630(-)","PIR protein","933","No"
"PocGH01_00194900","PocGH01_00194900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:53,434..54,673(-)","PIR protein","927","No"
"PocGH01_00195000","PocGH01_00195000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_506:57,640..58,754(-)","PIR protein, pseudogene","942","Yes"
"PocGH01_00195300","PocGH01_00195300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_509:417..1,665(+)","PIR protein","981","No"
"PocGH01_00195400","PocGH01_00195400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_510:722..1,884(+)","PIR protein","909","No"
"PocGH01_00195420","PocGH01_00195420.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_511:1..196(+)","18S ribosomal RNA","196","No"
"PocGH01_00195440","PocGH01_00195440.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_511:911..1,065(+)","5.8S ribosomal RNA","155","No"
"PocGH01_00195460","PocGH01_00195460.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_511:1,394..2,737(+)","28S ribosomal RNA","1344","No"
"PocGH01_00195500","PocGH01_00195500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_512:1,572..2,609(+)","PIR protein, pseudogene","879","Yes"
"PocGH01_00195600","PocGH01_00195600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_513:974..2,518(-)","PIR protein","915","No"
"PocGH01_00195700","PocGH01_00195700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_514:39..613(-)","PIR protein","409","No"
"PocGH01_00195800","PocGH01_00195800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_515:2,873..4,427(-)","PIR protein","657","No"
"PocGH01_00195900","PocGH01_00195900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_515:14,643..15,400(+)","hypothetical protein","324","No"
"PocGH01_00196000","PocGH01_00196000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_515:19,329..20,596(+)","PIR protein","1023","No"
"PocGH01_00196100","PocGH01_00196100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_515:25,999..27,087(-)","PIR protein","963","No"
"PocGH01_00196200","PocGH01_00196200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_515:34,371..35,639(-)","PIR protein","1008","No"
"PocGH01_00196300","PocGH01_00196300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_515:42,064..43,206(-)","PIR protein","1026","No"
"PocGH01_00196400","PocGH01_00196400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_515:50,385..51,685(-)","PIR protein","1047","No"
"PocGH01_00196500","PocGH01_00196500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_515:55,659..56,973(-)","PIR protein","1050","No"
"PocGH01_00196600","PocGH01_00196600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_516:1,226..2,637(+)","STP1 protein","1412","No"
"PocGH01_00196700","PocGH01_00196700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_517:483..1,604(+)","PIR protein, pseudogene","999","Yes"
"PocGH01_00196800","PocGH01_00196800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_518:949..2,527(-)","PIR protein","1014","No"
"PocGH01_00196900","PocGH01_00196900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_519:36..1,167(+)","PIR protein","1005","No"
"PocGH01_00197000","PocGH01_00197000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_520:2..461(-)","PIR protein","460","No"
"PocGH01_00197100","PocGH01_00197100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_523:1,724..2,512(+)","PIR protein","404","No"
"PocGH01_00197150","PocGH01_00197150.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_525:2,682..3,678(+)","PIR protein, pseudogene","936","Yes"
"PocGH01_00197200","PocGH01_00197200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_525:8,734..9,914(+)","PIR protein","915","No"
"PocGH01_00197250","PocGH01_00197250.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_525:12,419..13,525(+)","PIR protein, pseudogene","978","Yes"
"PocGH01_00197300","PocGH01_00197300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_525:17,982..19,462(+)","PIR protein","1233","No"
"PocGH01_00197400","PocGH01_00197400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_525:24,520..25,409(+)","PIR protein","750","No"
"PocGH01_00197500","PocGH01_00197500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_525:30,756..32,762(+)","PIR protein","1401","No"
"PocGH01_00197600","PocGH01_00197600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_525:34,954..36,026(+)","PIR protein, pseudogene","945","Yes"
"PocGH01_00197700","PocGH01_00197700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_525:43,954..45,216(+)","PIR protein","1008","No"
"PocGH01_00197800","PocGH01_00197800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_525:50,077..51,905(+)","PIR protein","1731","No"
"PocGH01_00198000","PocGH01_00198000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_529:1,152..1,802(+)","PIR protein, pseudogene","651","Yes"
"PocGH01_00198100","PocGH01_00198100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_531:1..1,005(-)","STP1 protein","1005","No"
"PocGH01_00198200","PocGH01_00198200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_532:1,354..2,335(-)","PIR protein","867","No"
"PocGH01_00198300","PocGH01_00198300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:3..947(+)","PIR protein","819","No"
"PocGH01_00198400","PocGH01_00198400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:5,384..6,540(+)","PIR protein","906","No"
"PocGH01_00198500","PocGH01_00198500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:11,287..12,595(+)","PIR protein, pseudogene","1092","Yes"
"PocGH01_00198600","PocGH01_00198600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:15,628..16,959(+)","PIR protein","1074","No"
"PocGH01_00198700","PocGH01_00198700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:19,931..20,813(+)","PIR protein","606","No"
"PocGH01_00198800","PocGH01_00198800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:25,829..27,113(+)","PIR protein","1032","No"
"PocGH01_00198900","PocGH01_00198900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:31,913..33,190(+)","PIR protein","1023","No"
"PocGH01_00199000","PocGH01_00199000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:35,777..36,938(+)","PIR protein","855","No"
"PocGH01_00199100","PocGH01_00199100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:40,617..41,874(+)","PIR protein","996","No"
"PocGH01_00199200","PocGH01_00199200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:44,468..45,602(+)","PIR protein","891","No"
"PocGH01_00199300","PocGH01_00199300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:49,974..51,236(+)","PIR protein","1023","No"
"PocGH01_00199400","PocGH01_00199400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_535:54,073..55,282(-)","PIR protein","954","No"
"PocGH01_00199500","PocGH01_00199500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_536:66..1,089(+)","PIR protein","855","No"
"PocGH01_00199600","PocGH01_00199600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_537:117..1,415(+)","PIR protein","879","No"
"PocGH01_00199700","PocGH01_00199700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_540:1,558..2,267(+)","PIR protein","581","No"
"PocGH01_00199800","PocGH01_00199800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_542:1,622..2,188(-)","PIR protein","435","No"
"PocGH01_00199900","PocGH01_00199900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_543:1,031..2,053(+)","PIR protein","879","No"
"PocGH01_00199950","PocGH01_00199950.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:1,091..1,902(+)","PIR protein, pseudogene","810","Yes"
"PocGH01_00200000","PocGH01_00200000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:5,601..6,737(+)","PIR protein","876","No"
"PocGH01_00200100","PocGH01_00200100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:10,223..10,808(+)","hypothetical protein","306","No"
"PocGH01_00200200","PocGH01_00200200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:15,065..16,352(+)","PIR protein, pseudogene","1125","Yes"
"PocGH01_00200300","PocGH01_00200300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:20,381..23,480(-)","PIR protein","2493","No"
"PocGH01_00200400","PocGH01_00200400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:26,735..27,822(-)","PIR protein, pseudogene","972","Yes"
"PocGH01_00200500","PocGH01_00200500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:31,609..32,913(+)","PIR protein","1020","No"
"PocGH01_00200600","PocGH01_00200600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:35,161..36,509(+)","PIR protein, pseudogene","990","Yes"
"PocGH01_00200700","PocGH01_00200700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:40,202..40,911(+)","PIR protein, pseudogene","580","Yes"
"PocGH01_00200800","PocGH01_00200800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:45,387..46,066(+)","PIR protein, pseudogene","558","Yes"
"PocGH01_00200900","PocGH01_00200900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:48,805..50,029(+)","PIR protein","1098","No"
"PocGH01_00201000","PocGH01_00201000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_544:54,764..56,681(+)","PIR protein, pseudogene","1818","Yes"
"PocGH01_00201200","PocGH01_00201200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_546:64..1,092(-)","PIR protein","891","No"
"PocGH01_00201300","PocGH01_00201300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_548:1,185..2,090(+)","PIR protein","777","No"
"PocGH01_00201400","PocGH01_00201400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_551:4,412..5,699(-)","PIR protein","1029","No"
"PocGH01_00201500","PocGH01_00201500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_551:13,240..15,204(-)","PIR protein","1026","No"
"PocGH01_00201600","PocGH01_00201600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_551:17,599..18,138(-)","PIR protein","540","No"
"PocGH01_00201700","PocGH01_00201700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_551:21,741..23,047(-)","PIR protein","1068","No"
"PocGH01_00201800","PocGH01_00201800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_551:30,808..31,991(-)","PIR protein","909","No"
"PocGH01_00201900","PocGH01_00201900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_551:37,188..38,468(-)","PIR protein","1041","No"
"PocGH01_00202000","PocGH01_00202000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_551:42,879..44,433(-)","PIR protein","1017","No"
"PocGH01_00202100","PocGH01_00202100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_551:47,809..49,065(-)","PIR protein","1005","No"
"PocGH01_00202200","PocGH01_00202200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_551:51,613..52,814(-)","PIR protein","906","No"
"PocGH01_00202300","PocGH01_00202300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_557:141..1,016(-)","PIR protein","876","No"
"PocGH01_00202400","PocGH01_00202400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_559:22..1,063(-)","PIR protein","900","No"
"PocGH01_00202500","PocGH01_00202500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:4,151..5,119(-)","PIR protein","669","No"
"PocGH01_00202600","PocGH01_00202600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:7,727..9,020(-)","PIR protein","1071","No"
"PocGH01_00202700","PocGH01_00202700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:16,022..18,457(+)","PIR protein","2034","No"
"PocGH01_00202800","PocGH01_00202800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:22,685..23,931(-)","PIR protein","1002","No"
"PocGH01_00202900","PocGH01_00202900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:29,810..30,675(-)","hypothetical protein","609","No"
"PocGH01_00203000","PocGH01_00203000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:34,690..35,935(-)","PIR protein","975","No"
"PocGH01_00203100","PocGH01_00203100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:38,342..39,693(-)","PIR protein, pseudogene","1236","Yes"
"PocGH01_00203200","PocGH01_00203200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:42,666..43,997(-)","PIR protein","780","No"
"PocGH01_00203300","PocGH01_00203300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:46,881..48,765(-)","PIR protein","1437","No"
"PocGH01_00203350","PocGH01_00203350.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:51,856..52,701(-)","PIR protein, pseudogene","840","Yes"
"PocGH01_00203400","PocGH01_00203400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_561:56,053..56,792(+)","PIR protein","555","No"
"PocGH01_00203500","PocGH01_00203500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_564:50..1,130(+)","Plasmodium exported protein, unknown function","858","No"
"PocGH01_00203600","PocGH01_00203600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_565:1..377(+)","PIR protein","258","No"
"PocGH01_00203700","PocGH01_00203700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_566:123..1,139(-)","PIR protein","873","No"
"PocGH01_00204200","PocGH01_00204200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_571:4,608..5,805(-)","PIR protein","948","No"
"PocGH01_00204300","PocGH01_00204300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_571:14,005..15,213(-)","PIR protein","879","No"
"PocGH01_00204400","PocGH01_00204400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_571:17,966..19,172(-)","PIR protein","888","No"
"PocGH01_00204500","PocGH01_00204500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_571:30,738..32,114(+)","PIR protein","963","No"
"PocGH01_00204600","PocGH01_00204600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_571:36,036..37,126(-)","hypothetical protein","537","No"
"PocGH01_00204700","PocGH01_00204700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_571:40,691..41,803(-)","PIR protein","960","No"
"PocGH01_00204800","PocGH01_00204800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_571:48,127..49,467(-)","PIR protein","834","No"
"PocGH01_00204900","PocGH01_00204900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_571:55,876..56,916(-)","PIR protein, pseudogene","936","Yes"
"PocGH01_00204950","PocGH01_00204950.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_576:624..1,539(-)","28S ribosomal RNA","916","No"
"PocGH01_00205000","PocGH01_00205000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_578:77..1,333(+)","PIR protein","1035","No"
"PocGH01_00205100","PocGH01_00205100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:1,093..2,238(+)","PIR protein, pseudogene","879","Yes"
"PocGH01_00205200","PocGH01_00205200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:4,488..5,328(-)","hypothetical protein","393","No"
"PocGH01_00205300","PocGH01_00205300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:8,994..10,576(-)","PIR protein","1158","No"
"PocGH01_00205400","PocGH01_00205400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:13,012..13,697(-)","hypothetical protein","495","No"
"PocGH01_00205500","PocGH01_00205500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:17,854..19,179(-)","PIR protein, pseudogene","1065","Yes"
"PocGH01_00205600","PocGH01_00205600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:22,094..23,059(-)","PIR protein","570","No"
"PocGH01_00205700","PocGH01_00205700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:24,975..26,247(-)","PIR protein","999","No"
"PocGH01_00205800","PocGH01_00205800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:30,519..31,698(-)","PIR protein, pseudogene","915","Yes"
"PocGH01_00205900","PocGH01_00205900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:33,754..35,528(-)","PIR protein","1011","No"
"PocGH01_00206000","PocGH01_00206000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:38,506..39,997(-)","PIR protein","834","No"
"PocGH01_00206100","PocGH01_00206100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:41,986..43,220(-)","PIR protein","1110","No"
"PocGH01_00206200","PocGH01_00206200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:47,051..48,348(-)","PIR protein","1026","No"
"PocGH01_00206300","PocGH01_00206300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:52,432..53,265(-)","hypothetical protein","432","No"
"PocGH01_00206400","PocGH01_00206400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_581:55,563..56,125(-)","PIR protein","423","No"
"PocGH01_00206600","PocGH01_00206600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_583:672..1,388(+)","PIR protein","588","No"
"PocGH01_00206700","PocGH01_00206700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_588:1..1,149(+)","STP1 protein","984","No"
"PocGH01_00206800","PocGH01_00206800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_589:3,147..4,439(-)","PIR protein","999","No"
"PocGH01_00206900","PocGH01_00206900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_589:7,755..8,495(+)","conserved Plasmodium protein, unknown function","741","No"
"PocGH01_00207000","PocGH01_00207000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_589:11,539..12,706(-)","PIR protein","870","No"
"PocGH01_00207100","PocGH01_00207100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_589:16,272..18,776(+)","PIR protein","2112","No"
"PocGH01_00207200","PocGH01_00207200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_589:31,872..33,215(-)","PIR protein","1011","No"
"PocGH01_00207300","PocGH01_00207300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_589:37,101..37,712(-)","PIR protein","552","No"
"PocGH01_00207400","PocGH01_00207400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_589:42,831..44,107(-)","PIR protein","1026","No"
"PocGH01_00207500","PocGH01_00207500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_589:46,831..48,395(-)","PIR protein","1464","No"
"PocGH01_00207600","PocGH01_00207600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_589:52,648..53,600(-)","PIR protein, pseudogene","948","Yes"
"PocGH01_00207700","PocGH01_00207700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_591:3..404(+)","PIR protein","279","No"
"PocGH01_00207800","PocGH01_00207800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_593:1,811..3,045(-)","Plasmodium exported protein, unknown function","1044","No"
"PocGH01_00207900","PocGH01_00207900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_593:10,778..11,722(+)","Plasmodium exported protein, unknown function","762","No"
"PocGH01_00208000","PocGH01_00208000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_593:14,656..16,000(-)","PIR protein","1068","No"
"PocGH01_00208100","PocGH01_00208100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_593:20,509..21,511(+)","PIR protein","576","No"
"PocGH01_00208200","PocGH01_00208200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_593:25,266..27,694(+)","PIR protein","1926","No"
"PocGH01_00208300","PocGH01_00208300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_593:29,972..31,606(-)","hypothetical protein","1074","No"
"PocGH01_00208400","PocGH01_00208400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_593:35,876..37,399(-)","PIR protein","1116","No"
"PocGH01_00208500","PocGH01_00208500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_593:40,648..41,746(-)","PIR protein","993","No"
"PocGH01_00208600","PocGH01_00208600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_593:48,654..49,880(-)","PIR protein","948","No"
"PocGH01_00208700","PocGH01_00208700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_593:53,426..55,036(-)","PIR protein","1350","No"
"PocGH01_00208800","PocGH01_00208800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:2,471..4,301(+)","PIR protein","1014","No"
"PocGH01_00208900","PocGH01_00208900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:6,314..7,604(+)","PIR protein","1023","No"
"PocGH01_00209000","PocGH01_00209000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:11,508..12,406(+)","PIR protein, pseudogene","787","Yes"
"PocGH01_00209100","PocGH01_00209100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:16,414..17,876(+)","PIR protein","972","No"
"PocGH01_00209200","PocGH01_00209200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:20,473..21,580(+)","PIR protein","990","No"
"PocGH01_00209300","PocGH01_00209300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:24,145..25,287(+)","PIR protein, pseudogene","873","Yes"
"PocGH01_00209400","PocGH01_00209400.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:29,205..30,543(+)","PIR protein","1086","No"
"PocGH01_00209500","PocGH01_00209500.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:38,686..41,086(-)","PIR protein","1965","No"
"PocGH01_00209600","PocGH01_00209600.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:45,723..46,681(+)","PIR protein","837","No"
"PocGH01_00209700","PocGH01_00209700.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:49,708..50,899(+)","PIR protein","909","No"
"PocGH01_00209800","PocGH01_00209800.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_594:53,755..55,023(+)","PIR protein","1038","No"
"PocGH01_00209900","PocGH01_00209900.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_595:19..1,839(-)","PIR protein","1277","No"
"PocGH01_00210000","PocGH01_00210000.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_595:9,040..10,226(+)","PIR protein","1065","No"
"PocGH01_00210100","PocGH01_00210100.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_595:12,853..13,850(+)","PIR protein","801","No"
"PocGH01_00210200","PocGH01_00210200.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_595:16,520..19,586(-)","PIR protein","2475","No"
"PocGH01_00210300","PocGH01_00210300.1","P. ovale curtisi GH01","PocGH01_00_v1_contig_595:24,914..26,195(+)","PIR protein","1011","No"
