"experiment" "assembly.x" "num_uniq_mRNA_pirHMMerORFs_nomatch95known_over200aa" "num_transcripts" "num_ORFs_predict" "num_ORFs_over200aaLength" "num_ORFs_novel_nomatch95known" "num_uniq_mRNA_ORFs_predict" "num_uniq_mRNA_ORFs_over200aaLength" "num_uniq_mRNA_ORF_novel_nomatch95known" "knwn_trnscrpt_cvg_over75" "ancestral_over75" "knwn_trnscrpt_cvg_over95" "zhu16_trnscrpt_cvg_over95" "Sal1_trnscrpt_cvg_over95" "P01_trnscrpt_cvg_over95" "ancestral_over95" "mean_mismatches" "mean_gaps" "med_mismatches" "med_gaps" "assembly_file" "orf_file" "blast_file" "Cat.Sample.stage.s." "experiment_num" "expt_colour" "num_mRNA_pir_over200aa_over1TPM" "assembly.y" "assembly_name" "Experiment" "num_busco_api_complete" "perc_busco_api_complete" "num_busco_api_fragment" "perc_busco_api_fragment" "num_busco_api_duplicate" "perc_busco_api_duplicate" "perc_busco_api_nonMissing" "num_busco_plasmo_complete" "perc_busco_plasmo_complete" "num_busco_plasmo_fragment" "perc_busco_plasmo_fragment" "num_busco_plasmo_duplicate" "perc_busco_plasmo_duplicate" "perc_busco_plasmo_nonMissing"
"21" "Zhu16" "Zhu16_SMRU2_scspades_0.95cdhitest" 413 20815 674 435 550 662 429 542 235 0 63 27 15 21 "0" 3.77777777777778 0.111111111111111 1 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Zhu16_SMRU2/Zhu16_SMRU2_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Zhu16_SMRU2_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Zhu16_SMRU2/Zhu16_SMRU2_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E01" "#88CCEE" 243 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Zhu16_SMRU2/Zhu16_SMRU2_0.95_cdhitest.fasta" "Zhu16_SMRU2" "Zhu16" 344 77.13 52 11.659 0 0 88.789 2386 65.513 444 12.191 1 0.027 77.732
"22" "Zhu16" "Zhu16_SMRUmix_scspades_0.95cdhitest" 327 23627 680 344 515 667 340 506 170 0 53 27 13 13 "0" 4.39622641509434 0.207547169811321 2 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Zhu16_SMRUmix/Zhu16_SMRUmix_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Zhu16_SMRUmix_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Zhu16_SMRUmix/Zhu16_SMRUmix_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E01" "#88CCEE" 93 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Zhu16_SMRUmix/Zhu16_SMRUmix_0.95_cdhitest.fasta" "Zhu16_SMRUmix" "Zhu16" 327 73.318 52 11.659 0 0 84.978 2349 64.498 469 12.878 0 0 77.375
"23" "Muller19" "Muller19_Thai1_scspades_0.95cdhitest" 1 19296 3 1 3 3 1 3 1 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai1/Muller19_Thai1_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai1_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai1/Muller19_Thai1_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai1/Muller19_Thai1_0.95_cdhitest.fasta" "Muller19_Thai1" "Muller19" 225 50.448 66 14.798 2 0.448 65.695 1112 30.533 440 12.081 0 0 42.614
"24" "Muller19" "Muller19_Thai2_scspades_0.95cdhitest" 1 17896 1 1 1 1 1 1 0 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai2/Muller19_Thai2_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai2_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai2/Muller19_Thai2_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai2/Muller19_Thai2_0.95_cdhitest.fasta" "Muller19_Thai2" "Muller19" 184 41.256 83 18.61 3 0.673 60.538 860 23.613 436 11.971 0 0 35.585
"25" "Muller19" "Muller19_Thai3_scspades_0.95cdhitest" 0 17723 5 0 4 5 0 4 0 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai3/Muller19_Thai3_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai3_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai3/Muller19_Thai3_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai3/Muller19_Thai3_0.95_cdhitest.fasta" "Muller19_Thai3" "Muller19" 259 58.072 68 15.247 3 0.673 73.991 1040 28.556 524 14.388 0 0 42.943
"26" "Muller19" "Muller19_Thai4_scspades_0.95cdhitest" 1 19677 3 1 3 3 1 3 0 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai4/Muller19_Thai4_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai4_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai4/Muller19_Thai4_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 1 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai4/Muller19_Thai4_0.95_cdhitest.fasta" "Muller19_Thai4" "Muller19" 200 44.843 88 19.731 13 2.915 67.489 906 24.876 459 12.603 0 0 37.479
"27" "Muller19" "Muller19_Thai5_scspades_0.95cdhitest" 0 7389 0 0 0 0 0 0 0 0 0 0 0 0 "0" 0 0 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai5/Muller19_Thai5_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai5_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai5/Muller19_Thai5_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai5/Muller19_Thai5_0.95_cdhitest.fasta" "Muller19_Thai5" "Muller19" 55 12.332 43 9.641 0 0 21.973 177 4.86 118 3.24 0 0 8.1
"28" "Muller19" "Muller19_Thai6_scspades_0.95cdhitest" 2 21538 3 2 3 3 2 3 1 0 1 0 1 0 "0" 14 0 14 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai6/Muller19_Thai6_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai6_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai6/Muller19_Thai6_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai6/Muller19_Thai6_0.95_cdhitest.fasta" "Muller19_Thai6" "Muller19" 251 56.278 73 16.368 3 0.673 73.318 1388 38.111 564 15.486 0 0 53.597
"29" "Muller19" "Muller19_Thai7_scspades_0.95cdhitest" 25 43787 84 26 61 84 26 61 8 0 1 0 0 1 "0" 8 0 8 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai7/Muller19_Thai7_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai7_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai7/Muller19_Thai7_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai7/Muller19_Thai7_0.95_cdhitest.fasta" "Muller19_Thai7" "Muller19" 302 67.713 63 14.126 14 3.139 84.978 1679 46.101 659 18.094 2 0.055 64.25
"30" "Muller19" "Muller19_Thai8_scspades_0.95cdhitest" 1 48564 2 1 2 2 1 2 0 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai8/Muller19_Thai8_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai8_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai8/Muller19_Thai8_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai8/Muller19_Thai8_0.95_cdhitest.fasta" "Muller19_Thai8" "Muller19" 239 53.587 59 13.229 45 10.09 76.906 1032 28.336 500 13.729 12 0.329 42.394
"31" "Muller19" "Muller19_Thai9_scspades_0.95cdhitest" 3 67477 5 3 5 5 3 5 0 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai9/Muller19_Thai9_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Muller19_Thai9_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Muller19_Thai9/Muller19_Thai9_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E05" "#332288" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Muller19_Thai9/Muller19_Thai9_0.95_cdhitest.fasta" "Muller19_Thai9" "Muller19" 274 61.435 50 11.211 56 12.556 85.202 1317 36.161 582 15.98 12 0.329 52.471
"32" "Rangel20" "Rangel20_PvJBC_scspades_0.95cdhitest" 60 27849 130 64 96 128 64 96 49 2 11 2 6 3 "0" 8.90909090909091 0.272727272727273 8 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Rangel20_PvJBC/Rangel20_PvJBC_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Rangel20_PvJBC_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Rangel20_PvJBC/Rangel20_PvJBC_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E10" "#661100" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Rangel20_PvJBC/Rangel20_PvJBC_0.95_cdhitest.fasta" "Rangel20_PvJBC" "Rangel20" 235 52.691 88 19.731 1 0.224 72.646 793 21.774 426 11.697 0 0 33.471
"33" "Rangel20" "Rangel20_PvMRMS_scspades_0.95cdhitest" 45 33331 83 45 64 82 45 63 28 2 6 1 2 3 "0" 6.16666666666667 0 4 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Rangel20_PvMRMS/Rangel20_PvMRMS_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Rangel20_PvMRMS_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Rangel20_PvMRMS/Rangel20_PvMRMS_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E10" "#661100" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Rangel20_PvMRMS/Rangel20_PvMRMS_0.95_cdhitest.fasta" "Rangel20_PvMRMS" "Rangel20" 302 67.713 74 16.592 0 0 84.305 1397 38.358 637 17.49 1 0.027 55.876
"34" "Rangel20" "Rangel20_PvTCF_scspades_0.95cdhitest" 50 47330 141 52 105 137 52 102 26 0 10 4 4 2 "0" 6.9 0.1 7 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Rangel20_PvTCF/Rangel20_PvTCF_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Rangel20_PvTCF_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Rangel20_PvTCF/Rangel20_PvTCF_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E10" "#661100" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Rangel20_PvTCF/Rangel20_PvTCF_0.95_cdhitest.fasta" "Rangel20_PvTCF" "Rangel20" 302 67.713 67 15.022 0 0 82.735 1531 42.037 748 20.538 0 0 62.576
"35" "Kim17" "SRX2884278_SRR5646669_scspades_0.95cdhitest" 201 23485 319 210 261 304 207 255 152 2 33 5 12 16 "PVP01_1147700.1-p1" 5.75757575757576 0.333333333333333 4 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX2884278_SRR5646669/SRX2884278_SRR5646669_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX2884278_SRR5646669_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX2884278_SRR5646669/SRX2884278_SRR5646669_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E02" "#CC6677" 114 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX2884278_SRR5646669/SRX2884278_SRR5646669_0.95_cdhitest.fasta" "SRX2884278_SRR5646669" "Kim17" 375 84.081 33 7.399 0 0 91.48 2213 60.763 447 12.273 0 0 73.037
"36" "Kim17" "SRX2884277_SRR5646670_scspades_0.95cdhitest" 211 17467 336 232 280 318 219 264 128 2 20 4 9 7 "PVP01_1147700.1-p1" 4.8 0.25 3 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX2884277_SRR5646670/SRX2884277_SRR5646670_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX2884277_SRR5646670_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX2884277_SRR5646670/SRX2884277_SRR5646670_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E02" "#CC6677" 150 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX2884277_SRR5646670/SRX2884277_SRR5646670_0.95_cdhitest.fasta" "SRX2884277_SRR5646670" "Kim17" 386 86.547 24 5.381 0 0 91.928 2242 61.56 475 13.042 0 0 74.602
"37" "Kim17" "SRX2884279_SRR5646668_scspades_0.95cdhitest" 0 20172 0 0 0 0 0 0 0 0 0 0 0 0 "0" 0 0 0 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX2884279_SRR5646668/SRX2884279_SRR5646668_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX2884279_SRR5646668_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX2884279_SRR5646668/SRX2884279_SRR5646668_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Sporozoite" "E02" "#CC6677" 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX2884279_SRR5646668/SRX2884279_SRR5646668_0.95_cdhitest.fasta" "SRX2884279_SRR5646668" "Kim17" 144 32.287 74 16.592 5 1.121 50 191 5.244 97 2.663 3 0.082 7.99
"38" "Kim17" "SRX5158517_SRR8347510_scspades_0.95cdhitest" 23 5318 40 23 34 38 23 32 40 2 10 2 4 4 "PVP01_1147700.1-p1" 3.5 0.2 2 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX5158517_SRR8347510/SRX5158517_SRR8347510_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX5158517_SRR8347510_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX5158517_SRR8347510/SRX5158517_SRR8347510_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E02" "#CC6677" 10 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX5158517_SRR8347510/SRX5158517_SRR8347510_0.95_cdhitest.fasta" "SRX5158517_SRR8347510" "Kim17" 111 24.888 47 10.538 2 0.448 35.874 371 10.187 95 2.608 0 0 12.795
"39" "Kim17" "SRX5158494_SRR8347533_scspades_0.95cdhitest" 5 1297 9 5 6 9 5 6 9 0 0 0 0 0 "0" NA NA NA NA "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX5158494_SRR8347533/SRX5158494_SRR8347533_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX5158494_SRR8347533_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX5158494_SRR8347533/SRX5158494_SRR8347533_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E02" "#CC6677" 2 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX5158494_SRR8347533/SRX5158494_SRR8347533_0.95_cdhitest.fasta" "SRX5158494_SRR8347533" "Kim17" 46 10.314 3 0.673 0 0 10.987 67 1.84 1 0.027 0 0 1.867
"40" "Kim17" "SRX5158495_SRR8347532_scspades_0.95cdhitest" 75 6829 145 78 119 134 77 114 88 2 11 4 5 2 "0" 7.45454545454545 0.454545454545455 5 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX5158495_SRR8347532/SRX5158495_SRR8347532_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/SRX5158495_SRR8347532_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/SRX5158495_SRR8347532/SRX5158495_SRR8347532_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E02" "#CC6677" 41 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/SRX5158495_SRR8347532/SRX5158495_SRR8347532_0.95_cdhitest.fasta" "SRX5158495_SRR8347532" "Kim17" 155 34.753 37 8.296 1 0.224 43.274 528 14.498 117 3.213 0 0 17.71
"41" "Kim19" "Kim19_A_scspades_0.95cdhitest" 14 6997 24 14 22 23 14 21 30 0 4 1 2 1 "0" 1.5 0.5 1 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_A/Kim19_A_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Kim19_A_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Kim19_A/Kim19_A_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E06" "#AA4499" 7 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_A/Kim19_A_0.95_cdhitest.fasta" "Kim19_A" "Kim19" 145 32.511 48 10.762 0 0 43.274 330 9.061 79 2.169 0 0 11.23
"42" "Kim19" "Kim19_B_scspades_0.95cdhitest" 64 15137 120 67 103 113 65 99 78 2 18 2 6 10 "PVP01_1147700.1-p1" 5.22222222222222 0.333333333333333 3.5 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_B/Kim19_B_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Kim19_B_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Kim19_B/Kim19_B_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E06" "#AA4499" 38 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_B/Kim19_B_0.95_cdhitest.fasta" "Kim19_B" "Kim19" 366 82.063 38 8.52 0 0 90.583 2034 55.848 437 11.999 0 0 67.847
"43" "Kim19" "Kim19_C_scspades_0.95cdhitest" 278 16391 465 289 372 445 285 361 165 0 39 4 17 18 "0" 7.53846153846154 0.333333333333333 4 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_C/Kim19_C_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Kim19_C_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Kim19_C/Kim19_C_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E06" "#AA4499" 143 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_C/Kim19_C_0.95_cdhitest.fasta" "Kim19_C" "Kim19" 374 83.857 27 6.054 0 0 89.91 2470 67.82 474 13.015 0 0 80.835
"44" "Kim19" "Kim19_D_scspades_0.95cdhitest" 185 17070 323 192 269 317 191 264 134 2 29 4 10 15 "PVP01_1147700.1-p1" 5.93103448275862 0.310344827586207 4 0 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_D/Kim19_D_0.95_cdhitest.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/hmmer/scspades/Kim19_D_scspades_0.95cdhitest_hmmerPfam-PlasmodiumVir.fasta" "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/blast/blast_to_Proteins/scspades/Kim19_D/Kim19_D_scspades_0.95cdhitest_hmmerPfam-Plasmodium_Vir_blast-VvxProt.outfmt6" "Asexual_Mixed" "E06" "#AA4499" 124 "/camp/lab/langhornej/working/HPC/littlet/tl22-01_vivaxDeNovo/cdhitest/Kim19_D/Kim19_D_0.95_cdhitest.fasta" "Kim19_D" "Kim19" 374 83.857 34 7.623 0 0 91.48 2272 62.383 441 12.109 1 0.027 74.519
