"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene has Unmatched Transcripts","Gene Name or Symbol","gene_source_id","Previous ID(s)","Transcript Product Description","# Exons in Gene","# Exons in Transcript","# Transcripts","Annotated 3' UTR length","Annotated 5' UTR length","Gene Strand","Gene Type","Is Pseudo","Transcript Length","Chromosome","Genomic Location (Transcript)","Genomic Sequence ID","Ortholog count","Ortholog Group","Paralog count"
"PBANKA_0615400","PBANKA_0615400.1","Plasmodium berghei ANKA","PbANKA_06_v3:641,050..642,660(-)","serine--tRNA ligase, putative","no","null","PBANKA_0615400","Previous IDs: PB000583.00.0;PB000709.02.0;PBANKA_061540","serine--tRNA ligase, putative","1","1","1","null","null","reverse","protein coding","No","1611","06","PbANKA_06_v3:641050..642660(-)","PbANKA_06_v3","87","OG6_100275","1"
"PBANKA_0615500","PBANKA_0615500.1","Plasmodium berghei ANKA","PbANKA_06_v3:643,786..647,532(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0615500","Previous IDs: PB000710.02.0;PBANKA_061550","conserved Plasmodium protein, unknown function","1","1","1","null","null","reverse","protein coding","No","3747","06","PbANKA_06_v3:643786..647532(-)","PbANKA_06_v3","4","OG6_107119","0"
"PBANKA_0615600","PBANKA_0615600.1","Plasmodium berghei ANKA","PbANKA_06_v3:648,569..650,591(-)","thioredoxin-like protein","no","null","PBANKA_0615600","Previous IDs: PB000711.02.0;PBANKA_061560","thioredoxin-like protein","8","8","1","null","null","reverse","protein coding","No","1293","06","PbANKA_06_v3:648569..650591(-)","PbANKA_06_v3","44","OG6_139506","0"
"PBANKA_0615700","PBANKA_0615700.1","Plasmodium berghei ANKA","PbANKA_06_v3:651,662..669,302(-)","dynein heavy chain, putative","no","null","PBANKA_0615700","Previous IDs: PB000190.01.0;PB000201.03.0;PB001097.01.0;PB001164.02.0;PB300469.00.0;PB301235.00.0;PBANKA_061570","dynein heavy chain, putative","11","11","1","null","null","reverse","protein coding","No","15750","06","PbANKA_06_v3:651662..669302(-)","PbANKA_06_v3","273","OG6_100025","5"
"PBANKA_0615800","PBANKA_0615800.1","Plasmodium berghei ANKA","PbANKA_06_v3:670,236..677,606(-)","exported serine/threonine protein kinase","no","EST","PBANKA_0615800","Previous IDs: PB000366.01.0;PB001163.02.0;PB101302.00.0;PBANKA_061580","exported serine/threonine protein kinase","1","1","1","null","null","reverse","protein coding","No","7371","06","PbANKA_06_v3:670236..677606(-)","PbANKA_06_v3","38","OG6_532974","0"
"PBANKA_0615900","PBANKA_0615900.1","Plasmodium berghei ANKA","PbANKA_06_v3:683,907..692,308(-)","cysteine repeat modular protein 2","no","CRMP2","PBANKA_0615900","Previous IDs: PB000158.02.0;PB000442.01.0;PB001595.02.0;PB301403.00.0;PBANKA_061590","cysteine repeat modular protein 2","7","7","1","null","null","reverse","protein coding","No","7605","06","PbANKA_06_v3:683907..692308(-)","PbANKA_06_v3","46","OG6_121292","0"
"PBANKA_0616000","PBANKA_0616000.1","Plasmodium berghei ANKA","PbANKA_06_v3:693,868..694,338(+)","mitochondrial ribosomal protein S8 precursor, putative","no","null","PBANKA_0616000","Previous IDs: PB000551.01.0;PBANKA_061600","mitochondrial ribosomal protein S8 precursor, putative","2","2","1","null","null","forward","protein coding","No","390","06","PbANKA_06_v3:693868..694338(+)","PbANKA_06_v3","87","OG6_100322","1"
"PBANKA_0616100","PBANKA_0616100.1","Plasmodium berghei ANKA","PbANKA_06_v3:696,071..697,390(+)","prefoldin subunit 3, putative","no","null","PBANKA_0616100","Previous IDs: PB300430.00.0;PBANKA_061610","prefoldin subunit 3, putative","6","6","1","null","null","forward","protein coding","No","570","06","PbANKA_06_v3:696071..697390(+)","PbANKA_06_v3","43","OG6_102595","0"
"PBANKA_0616200","PBANKA_0616200.1","Plasmodium berghei ANKA","PbANKA_06_v3:698,518..702,877(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0616200","Previous IDs: PB107215.00.0;PB107411.00.0;PB301370.00.0;PBANKA_061620","conserved Plasmodium protein, unknown function","10","10","1","null","null","forward","protein coding","No","3201","06","PbANKA_06_v3:698518..702877(+)","PbANKA_06_v3","0","OG6_219177","0"
"PBANKA_0616300","PBANKA_0616300.1","Plasmodium berghei ANKA","PbANKA_06_v3:703,263..704,651(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0616300","Previous IDs: PB000195.03.0;PBANKA_061630","conserved Plasmodium protein, unknown function","1","1","1","null","null","reverse","protein coding","No","1389","06","PbANKA_06_v3:703263..704651(-)","PbANKA_06_v3","44","OG6_533066","0"
"PBANKA_0616400","PBANKA_0616400.1","Plasmodium berghei ANKA","PbANKA_06_v3:705,586..707,067(-)","conserved protein, unknown function","no","null","PBANKA_0616400","Previous IDs: PB000548.00.0;PBANKA_061640","conserved protein, unknown function","5","5","1","null","null","reverse","protein coding","No","828","06","PbANKA_06_v3:705586..707067(-)","PbANKA_06_v3","82","OG6_140582","0"
"PBANKA_0616500","PBANKA_0616500.1","Plasmodium berghei ANKA","PbANKA_06_v3:708,724..709,257(+)","conserved protein, unknown function","no","null","PBANKA_0616500","Previous IDs: PB001095.00.0;PBANKA_061650","conserved protein, unknown function","1","1","1","null","null","forward","protein coding","No","534","06","PbANKA_06_v3:708724..709257(+)","PbANKA_06_v3","44","OG6_157596","0"
"PBANKA_0616600","PBANKA_0616600.1","Plasmodium berghei ANKA","PbANKA_06_v3:709,873..710,816(-)","ATP synthase F0 subunit a-like protein, putative","no","null","PBANKA_0616600","Previous IDs: PB001096.00.0;PBANKA_061660","ATP synthase F0 subunit a-like protein, putative","4","4","1","null","null","reverse","protein coding","No","534","06","PbANKA_06_v3:709873..710816(-)","PbANKA_06_v3","44","OG6_146141","0"
"PBANKA_0616700","PBANKA_0616700.1","Plasmodium berghei ANKA","PbANKA_06_v3:711,904..713,513(+)","NIMA related kinase 4","no","NEK4","PBANKA_0616700","Previous IDs: PB001094.00.0;PBANKA_061670;PbNek4","NIMA related kinase 4","7","7","1","null","null","forward","protein coding","No","933","06","PbANKA_06_v3:711904..713513(+)","PbANKA_06_v3","89","OG6_105432","1"
"PBANKA_0616800","PBANKA_0616800.1","Plasmodium berghei ANKA","PbANKA_06_v3:715,236..717,953(+)","actin-related protein, putative","no","ARP6","PBANKA_0616800","Previous IDs: PB000766.03.0;PBANKA_061680","actin-related protein, putative","1","1","1","null","null","forward","protein coding","No","2718","06","PbANKA_06_v3:715236..717953(+)","PbANKA_06_v3","44","OG6_103780","0"
"PBANKA_0616900","PBANKA_0616900.1","Plasmodium berghei ANKA","PbANKA_06_v3:718,565..722,587(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0616900","Previous IDs: PB000016.01.0;PB300959.00.0;PBANKA_061690","conserved Plasmodium protein, unknown function","1","1","1","null","null","reverse","protein coding","No","4023","06","PbANKA_06_v3:718565..722587(-)","PbANKA_06_v3","39","OG6_533483","0"
"PBANKA_0617000","PBANKA_0617000.1","Plasmodium berghei ANKA","PbANKA_06_v3:723,599..724,958(-)","LEM3/CDC50 family protein, putative","no","CDC50A","PBANKA_0617000","Previous IDs: PB000015.01.0;PB001071.03.0;PBANKA_061700","LEM3/CDC50 family protein, putative","2","2","1","null","null","reverse","protein coding","No","1275","06","PbANKA_06_v3:723599..724958(-)","PbANKA_06_v3","44","OG6_100927","0"
"PBANKA_0617100","PBANKA_0617100.1","Plasmodium berghei ANKA","PbANKA_06_v3:726,658..727,475(-)","60S ribosomal protein L11a, putative","no","null","PBANKA_0617100","Previous IDs: PB001409.02.0;PBANKA_061710","60S ribosomal protein L11a, putative","2","2","1","null","null","reverse","protein coding","No","522","06","PbANKA_06_v3:726658..727475(-)","PbANKA_06_v3","44","OG6_100325","0"
"PBANKA_0617200","PBANKA_0617200.1","Plasmodium berghei ANKA","PbANKA_06_v3:728,781..729,697(+)","40S ribosomal protein S10, putative","no","RPS10","PBANKA_0617200","Previous IDs: PB001410.02.0;PB301059.00.0;PBANKA_061720","40S ribosomal protein S10, putative","3","3","1","null","null","forward","protein coding","No","414","06","PbANKA_06_v3:728781..729697(+)","PbANKA_06_v3","44","OG6_101133","0"
"PBANKA_0617300","PBANKA_0617300.1","Plasmodium berghei ANKA","PbANKA_06_v3:730,373..731,851(-)","conserved protein, unknown function","no","null","PBANKA_0617300","Previous IDs: PB001407.02.0;PBANKA_061730","conserved protein, unknown function","1","1","1","null","null","reverse","protein coding","No","1479","06","PbANKA_06_v3:730373..731851(-)","PbANKA_06_v3","44","OG6_139451","0"
"PBANKA_0617400","PBANKA_0617400.1","Plasmodium berghei ANKA","PbANKA_06_v3:732,783..741,428(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0617400","Previous IDs: PB000369.01.0;PB000756.03.0;PB001408.02.0;PB300440.00.0;PB405470.00.0;PBANKA_061740","conserved Plasmodium protein, unknown function","1","1","1","null","null","forward","protein coding","No","8646","06","PbANKA_06_v3:732783..741428(+)","PbANKA_06_v3","6","OG6r1_107910","0"
"PBANKA_0617500","PBANKA_0617500.1","Plasmodium berghei ANKA","PbANKA_06_v3:742,372..743,115(+)","exosome complex component CSL4, putative","no","CSL4","PBANKA_0617500","Previous IDs: PB000371.01.0;PBANKA_061750","exosome complex component CSL4, putative","2","2","1","null","null","forward","protein coding","No","585","06","PbANKA_06_v3:742372..743115(+)","PbANKA_06_v3","43","OG6_101821","0"
"PBANKA_0617600","PBANKA_0617600.1","Plasmodium berghei ANKA","PbANKA_06_v3:743,330..744,193(-)","pre-rRNA-processing protein ESF2, putative","no","ESF2","PBANKA_0617600","Previous IDs: PB000370.01.0;PBANKA_061760","pre-rRNA-processing protein ESF2, putative","1","1","1","null","null","reverse","protein coding","No","864","06","PbANKA_06_v3:743330..744193(-)","PbANKA_06_v3","44","OG6_102746","0"
"PBANKA_0617700","PBANKA_0617700.1","Plasmodium berghei ANKA","PbANKA_06_v3:744,860..745,403(+)","conserved protein, unknown function","no","null","PBANKA_0617700","Previous IDs: PB000684.00.0;PBANKA_061770","conserved protein, unknown function","2","2","1","null","null","forward","protein coding","No","363","06","PbANKA_06_v3:744860..745403(+)","PbANKA_06_v3","45","OG6_179332","0"
"PBANKA_0617800","PBANKA_0617800.1","Plasmodium berghei ANKA","PbANKA_06_v3:745,800..746,189(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0617800","Previous IDs: PB000685.00.0;PBANKA_061780","conserved Plasmodium protein, unknown function","2","2","1","null","null","reverse","protein coding","No","303","06","PbANKA_06_v3:745800..746189(-)","PbANKA_06_v3","44","OG6_532520","0"
"PBANKA_0617900","PBANKA_0617900.1","Plasmodium berghei ANKA","PbANKA_06_v3:747,589..749,643(+)","apoptosis-inducing factor, putative","no","AIF","PBANKA_0617900","Previous IDs: PB000683.00.0;PB301572.00.0;PBANKA_061790","apoptosis-inducing factor, putative","2","2","1","null","null","forward","protein coding","No","1968","06","PbANKA_06_v3:747589..749643(+)","PbANKA_06_v3","44","OG6_100481","0"
"PBANKA_0618000","PBANKA_0618000.1","Plasmodium berghei ANKA","PbANKA_06_v3:750,709..751,650(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0618000","Previous IDs: PBANKA_061800","conserved Plasmodium protein, unknown function","6","6","1","null","null","forward","protein coding","No","408","06","PbANKA_06_v3:750709..751650(+)","PbANKA_06_v3","42","OG6_533516","0"
"PBANKA_0618100","PBANKA_0618100.1","Plasmodium berghei ANKA","PbANKA_06_v3:751,964..753,595(-)","conserved protein, unknown function","no","null","PBANKA_0618100","Previous IDs: PB000056.03.0;PBANKA_061810","conserved protein, unknown function","7","7","1","null","null","reverse","protein coding","No","705","06","PbANKA_06_v3:751964..753595(-)","PbANKA_06_v3","43","OG6_160730","0"
"PBANKA_0618200","PBANKA_0618200.1","Plasmodium berghei ANKA","PbANKA_06_v3:755,618..762,228(+)","phosphoinositide-binding protein, putative","no","null","PBANKA_0618200","Previous IDs: PB000627.02.0;PB000628.02.0;PB001068.02.0;PBANKA_061820","phosphoinositide-binding protein, putative","6","6","1","null","null","forward","protein coding","No","5751","06","PbANKA_06_v3:755618..762228(+)","PbANKA_06_v3","24","OG6_107027","0"
"PBANKA_0618300","PBANKA_0618300.1","Plasmodium berghei ANKA","PbANKA_06_v3:763,090..764,619(+)","Ham1-like protein, putative","no","null","PBANKA_0618300","Previous IDs: PB001070.02.0;PBANKA_061830","Ham1-like protein, putative","7","7","1","null","null","forward","protein coding","No","591","06","PbANKA_06_v3:763090..764619(+)","PbANKA_06_v3","48","OG6_100769","0"
"PBANKA_0618400","PBANKA_0618400.1","Plasmodium berghei ANKA","PbANKA_06_v3:764,832..765,815(+)","tetratricopeptide repeat protein, putative","no","null","PBANKA_0618400","Previous IDs: PB001069.02.0;PB301468.00.0;PBANKA_061840","tetratricopeptide repeat protein, putative","4","4","1","null","null","forward","protein coding","No","597","06","PbANKA_06_v3:764832..765815(+)","PbANKA_06_v3","42","OG6_532393","0"
"PBANKA_0618500","PBANKA_0618500.1","Plasmodium berghei ANKA","PbANKA_06_v3:767,196..774,957(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0618500","Previous IDs: PB000937.03.0;PB106086.00.0;PBANKA_061850","conserved Plasmodium protein, unknown function","2","2","1","null","null","forward","protein coding","No","7659","06","PbANKA_06_v3:767196..774957(+)","PbANKA_06_v3","2","OG6r1_128750","0"
"PBANKA_0618600","PBANKA_0618600.1","Plasmodium berghei ANKA","PbANKA_06_v3:776,995..777,702(+)","conserved protein, unknown function","no","null","PBANKA_0618600","Previous IDs: PB000309.01.0;PBANKA_061860","conserved protein, unknown function","1","1","1","null","null","forward","protein coding","No","708","06","PbANKA_06_v3:776995..777702(+)","PbANKA_06_v3","44","OG6_134695","0"
"PBANKA_0618700","PBANKA_0618700.1","Plasmodium berghei ANKA","PbANKA_06_v3:778,518..781,181(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0618700","Previous IDs: PB300212.00.0;PBANKA_061870","conserved Plasmodium protein, unknown function","1","1","1","null","null","reverse","protein coding","No","2664","06","PbANKA_06_v3:778518..781181(-)","PbANKA_06_v3","43","OG6_532581","0"
"PBANKA_0618800","PBANKA_0618800.1","Plasmodium berghei ANKA","PbANKA_06_v3:782,317..784,692(+)","ATP-dependent RNA helicase DBP7, putative","no","DBP7","PBANKA_0618800","Previous IDs: PB000800.01.0;PBANKA_061880","ATP-dependent RNA helicase DBP7, putative","1","1","1","null","null","forward","protein coding","No","2376","06","PbANKA_06_v3:782317..784692(+)","PbANKA_06_v3","44","OG6_102676","0"
"PBANKA_0618900","PBANKA_0618900.1","Plasmodium berghei ANKA","PbANKA_06_v3:785,446..786,680(+)","rhoptry protein, putative","no","null","PBANKA_0618900","Previous IDs: PB000799.01.0;PBANKA_061890","rhoptry protein, putative","6","6","1","null","null","forward","protein coding","No","678","06","PbANKA_06_v3:785446..786680(+)","PbANKA_06_v3","44","OG6_130832","0"
"PBANKA_0619000","PBANKA_0619000.1","Plasmodium berghei ANKA","PbANKA_06_v3:787,294..789,588(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0619000","Previous IDs: PB000801.01.0;PB000916.02.0;PBANKA_061900","conserved Plasmodium protein, unknown function","1","1","1","null","null","forward","protein coding","No","2295","06","PbANKA_06_v3:787294..789588(+)","PbANKA_06_v3","33","OG6_533266","0"
"PBANKA_0619100","PBANKA_0619100.1","Plasmodium berghei ANKA","PbANKA_06_v3:790,239..791,013(-)","40S ribosomal protein S5, putative","no","null","PBANKA_0619100","Previous IDs: PB000915.02.0;PB301082.00.0;PBANKA_061910","40S ribosomal protein S5, putative","2","2","1","null","null","reverse","protein coding","No","585","06","PbANKA_06_v3:790239..791013(-)","PbANKA_06_v3","44","OG6_100920","0"
"PBANKA_0619200","PBANKA_0619200.1","Plasmodium berghei ANKA","PbANKA_06_v3:793,810..795,249(+)","secreted ookinete protein, putative","no","PSOP1","PBANKA_0619200","Previous IDs: PB000198.00.0;PBANKA_061920","secreted ookinete protein, putative","1","1","1","null","null","forward","protein coding","No","1440","06","PbANKA_06_v3:793810..795249(+)","PbANKA_06_v3","44","OG6_533324","0"
"PBANKA_0619300","PBANKA_0619300.1","Plasmodium berghei ANKA","PbANKA_06_v3:796,646..797,313(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0619300","Previous IDs: PBANKA_061930","conserved Plasmodium protein, unknown function","3","3","1","null","null","forward","protein coding","No","315","06","PbANKA_06_v3:796646..797313(+)","PbANKA_06_v3","44","OG6_139491","0"
"PBANKA_0619400","PBANKA_0619400.1","Plasmodium berghei ANKA","PbANKA_06_v3:798,065..798,570(-)","V-type ATPase V0 subunit e, putative","no","null","PBANKA_0619400","Previous IDs: PBANKA_061940","V-type ATPase V0 subunit e, putative","3","3","1","null","null","reverse","protein coding","No","237","06","PbANKA_06_v3:798065..798570(-)","PbANKA_06_v3","41","OG6_102348","0"
"PBANKA_0619500","PBANKA_0619500.1","Plasmodium berghei ANKA","PbANKA_06_v3:799,727..800,392(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0619500","Previous IDs: PB000075.00.0;PBANKA_061950","conserved Plasmodium protein, unknown function","1","1","1","null","null","forward","protein coding","No","666","06","PbANKA_06_v3:799727..800392(+)","PbANKA_06_v3","0","OG6r1_327669","0"
"PBANKA_0619600","PBANKA_0619600.1","Plasmodium berghei ANKA","PbANKA_06_v3:801,752..802,909(+)","protein pelota homolog, putative","no","null","PBANKA_0619600","Previous IDs: PB000010.03.0;PB000074.00.0;PBANKA_061960","protein pelota homolog, putative","1","1","1","null","null","forward","protein coding","No","1158","06","PbANKA_06_v3:801752..802909(+)","PbANKA_06_v3","43","OG6_101450","0"
"PBANKA_0619700","PBANKA_0619700.1","Plasmodium berghei ANKA","PbANKA_06_v3:803,907..805,541(+)","rhoptry-associated leucine zipper-like protein 1, putative","no","RALP1","PBANKA_0619700","Previous IDs: PB000011.03.0;PBANKA_061970","rhoptry-associated leucine zipper-like protein 1, putative","1","1","1","null","null","forward","protein coding","No","1635","06","PbANKA_06_v3:803907..805541(+)","PbANKA_06_v3","44","OG6_532308","0"
"PBANKA_0619800","PBANKA_0619800.1","Plasmodium berghei ANKA","PbANKA_06_v3:806,402..809,539(-)","zinc finger protein, putative","no","null","PBANKA_0619800","Previous IDs: PB000095.00.0;PB000681.00.0;PBANKA_061980","zinc finger protein, putative","1","1","1","null","null","reverse","protein coding","No","3138","06","PbANKA_06_v3:806402..809539(-)","PbANKA_06_v3","43","OG6_532410","0"
"PBANKA_0619900","PBANKA_0619900.1","Plasmodium berghei ANKA","PbANKA_06_v3:810,245..811,647(+)","Obg-like ATPase 1, putative","no","OLA1","PBANKA_0619900","Previous IDs: PB000680.00.0;PBANKA_061990","Obg-like ATPase 1, putative","3","3","1","null","null","forward","protein coding","No","1182","06","PbANKA_06_v3:810245..811647(+)","PbANKA_06_v3","45","OG6_100571","0"
"PBANKA_0620000","PBANKA_0620000.1","Plasmodium berghei ANKA","PbANKA_06_v3:812,212..813,218(-)","pre-mRNA-splicing factor CWC15, putative","no","CWC15","PBANKA_0620000","Previous IDs: PB000232.00.0;PB000682.00.0;PBANKA_062000","pre-mRNA-splicing factor CWC15, putative","2","2","1","null","null","reverse","protein coding","No","810","06","PbANKA_06_v3:812212..813218(-)","PbANKA_06_v3","43","OG6_102825","0"
"PBANKA_0620100","PBANKA_0620100.1","Plasmodium berghei ANKA","PbANKA_06_v3:814,232..816,043(-)","U3 small nucleolar RNA-associated protein 7, putative","no","UTP7","PBANKA_0620100","Previous IDs: PB001089.00.0;PBANKA_062010","U3 small nucleolar RNA-associated protein 7, putative","1","1","1","null","null","reverse","protein coding","No","1812","06","PbANKA_06_v3:814232..816043(-)","PbANKA_06_v3","40","OG6_102360","0"
"PBANKA_0620200","PBANKA_0620200.1","Plasmodium berghei ANKA","PbANKA_06_v3:817,081..817,524(+)","conserved protein, unknown function","no","null","PBANKA_0620200","Previous IDs: PB001091.00.0;PBANKA_062020","conserved protein, unknown function","2","2","1","null","null","forward","protein coding","No","240","06","PbANKA_06_v3:817081..817524(+)","PbANKA_06_v3","42","OG6_179333","0"
"PBANKA_0620300","PBANKA_0620300.1","Plasmodium berghei ANKA","PbANKA_06_v3:818,314..819,978(+)","conserved protein, unknown function","no","null","PBANKA_0620300","Previous IDs: PB001090.00.0;PB301224.00.0;PBANKA_062030","conserved protein, unknown function","1","1","1","null","null","forward","protein coding","No","1665","06","PbANKA_06_v3:818314..819978(+)","PbANKA_06_v3","44","OG6_139453","0"
"PBANKA_0620400","PBANKA_0620400.1","Plasmodium berghei ANKA","PbANKA_06_v3:820,361..822,494(-)","conserved protein, unknown function","no","null","PBANKA_0620400","Previous IDs: PB001092.00.0;PBANKA_062040","conserved protein, unknown function","11","11","1","null","null","reverse","protein coding","No","933","06","PbANKA_06_v3:820361..822494(-)","PbANKA_06_v3","45","OG6_532986","0"
"PBANKA_0620500","PBANKA_0620500.1","Plasmodium berghei ANKA","PbANKA_06_v3:823,342..824,349(-)","tRNAHis guanylyltransferase, putative","no","null","PBANKA_0620500","Previous IDs: PB000744.00.0;PB101888.00.0;PBANKA_062050","tRNAHis guanylyltransferase, putative","1","1","1","null","null","reverse","protein coding","No","1008","06","PbANKA_06_v3:823342..824349(-)","PbANKA_06_v3","44","OG6_103009","0"
"PBANKA_0620600","PBANKA_0620600.1","Plasmodium berghei ANKA","PbANKA_06_v3:825,073..826,434(-)","protein CPH1, putative","no","CPH1","PBANKA_0620600","Previous IDs: PB000742.00.0;PBANKA_062060","protein CPH1, putative","1","1","1","null","null","reverse","protein coding","No","1362","06","PbANKA_06_v3:825073..826434(-)","PbANKA_06_v3","44","OG6_139452","0"
"PBANKA_0620700","PBANKA_0620700.1","Plasmodium berghei ANKA","PbANKA_06_v3:827,241..828,643(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0620700","Previous IDs: PB000743.00.0;PB300287.00.0;PBANKA_062070","conserved Plasmodium protein, unknown function","4","4","1","null","null","forward","protein coding","No","1071","06","PbANKA_06_v3:827241..828643(+)","PbANKA_06_v3","44","OG6_119622","0"
"PBANKA_0620800","PBANKA_0620800.1","Plasmodium berghei ANKA","PbANKA_06_v3:830,151..831,830(+)","conserved protein, unknown function","no","null","PBANKA_0620800","Previous IDs: PB000811.01.0;PBANKA_062080","conserved protein, unknown function","1","1","1","null","null","forward","protein coding","No","1680","06","PbANKA_06_v3:830151..831830(+)","PbANKA_06_v3","44","OG6_126635","0"
"PBANKA_0620900","PBANKA_0620900.1","Plasmodium berghei ANKA","PbANKA_06_v3:832,218..835,586(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0620900","Previous IDs: PB000421.00.0;PB000812.01.0;PB103938.00.0;PBANKA_062090","conserved Plasmodium protein, unknown function","1","1","1","null","null","reverse","protein coding","No","3369","06","PbANKA_06_v3:832218..835586(-)","PbANKA_06_v3","2","OG6r1_128751","0"
"PBANKA_0621000","PBANKA_0621000.1","Plasmodium berghei ANKA","PbANKA_06_v3:836,587..837,252(-)","dynactin subunit 5, putative","no","null","PBANKA_0621000","Previous IDs: PB000986.01.0;PBANKA_062100","dynactin subunit 5, putative","1","1","1","null","null","reverse","protein coding","No","666","06","PbANKA_06_v3:836587..837252(-)","PbANKA_06_v3","44","OG6_103929","0"
"PBANKA_0621100","PBANKA_0621100.1","Plasmodium berghei ANKA","PbANKA_06_v3:838,503..839,245(+)","proteasome assembly chaperone 4, putative","no","null","PBANKA_0621100","Previous IDs: PB000987.01.0;PBANKA_062110","proteasome assembly chaperone 4, putative","3","3","1","null","null","forward","protein coding","No","441","06","PbANKA_06_v3:838503..839245(+)","PbANKA_06_v3","44","OG6_105203","0"
"PBANKA_0621200","PBANKA_0621200.1","Plasmodium berghei ANKA","PbANKA_06_v3:839,885..842,257(+)","metallo-hydrolase/oxidoreductase, putative","no","null","PBANKA_0621200","Previous IDs: PB000984.01.0;PBANKA_062120","metallo-hydrolase/oxidoreductase, putative","1","1","1","null","null","forward","protein coding","No","2373","06","PbANKA_06_v3:839885..842257(+)","PbANKA_06_v3","88","OG6_100263","1"
"PBANKA_0621300","PBANKA_0621300.1","Plasmodium berghei ANKA","PbANKA_06_v3:844,027..849,515(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0621300","Previous IDs: PB000085.00.0;PB000985.01.0;PB000988.01.0;PBANKA_062130","conserved Plasmodium protein, unknown function","4","4","1","null","null","forward","protein coding","No","5214","06","PbANKA_06_v3:844027..849515(+)","PbANKA_06_v3","1","OG6_170928","0"
"PBANKA_0621400","PBANKA_0621400.1","Plasmodium berghei ANKA","PbANKA_06_v3:849,876..853,581(-)","RNA-binding protein, putative","no","null","PBANKA_0621400","Previous IDs: PB000084.00.0;PB300636.00.0;PBANKA_062140","RNA-binding protein, putative","4","4","1","null","null","reverse","protein coding","No","3399","06","PbANKA_06_v3:849876..853581(-)","PbANKA_06_v3","42","OG6_171493","0"
"PBANKA_0621500","PBANKA_0621500.1","Plasmodium berghei ANKA","PbANKA_06_v3:855,765..860,684(+)","Rab GTPase activator and protein kinase, putative","no","null","PBANKA_0621500","Previous IDs: PB000387.02.0;PB000470.00.0;PB000471.00.0;PB300546.00.0;PBANKA_062150","Rab GTPase activator and protein kinase, putative","1","1","1","null","null","forward","protein coding","No","4920","06","PbANKA_06_v3:855765..860684(+)","PbANKA_06_v3","1","OG6_184715","0"
"PBANKA_0621600","PBANKA_0621600.1","Plasmodium berghei ANKA","PbANKA_06_v3:861,848..864,078(-)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0621600","Previous IDs: PB000472.00.0;PBANKA_062160","conserved Plasmodium protein, unknown function","2","2","1","null","null","reverse","protein coding","No","2091","06","PbANKA_06_v3:861848..864078(-)","PbANKA_06_v3","138","OG6_130353","7"
"PBANKA_0621700","PBANKA_0621700.1","Plasmodium berghei ANKA","PbANKA_06_v3:867,531..868,799(-)","type 2A phosphatase-associated protein 42, putative","no","TAP42","PBANKA_0621700","Previous IDs: PB300922.00.0;PBANKA_062170","type 2A phosphatase-associated protein 42, putative","1","1","1","null","null","reverse","protein coding","No","1269","06","PbANKA_06_v3:867531..868799(-)","PbANKA_06_v3","44","OG6_102570","0"
"PBANKA_0621800","PBANKA_0621800.1","Plasmodium berghei ANKA","PbANKA_06_v3:869,696..870,883(+)","ubiquinone biosynthesis O-methyltransferase, putative","no","COQ3","PBANKA_0621800","Previous IDs: PB001612.02.0;PBANKA_062180","ubiquinone biosynthesis O-methyltransferase, putative","2","2","1","null","null","forward","protein coding","No","1080","06","PbANKA_06_v3:869696..870883(+)","PbANKA_06_v3","44","OG6_102172","0"
"PBANKA_0621900","PBANKA_0621900.1","Plasmodium berghei ANKA","PbANKA_06_v3:871,703..872,142(+)","mitochondrial import inner membrane translocase subunit TIM14, putative","no","PAM18","PBANKA_0621900","Previous IDs: PB001613.02.0;PBANKA_062190","mitochondrial import inner membrane translocase subunit TIM14, putative","2","2","1","null","null","forward","protein coding","No","345","06","PbANKA_06_v3:871703..872142(+)","PbANKA_06_v3","43","OG6_101286","0"
"PBANKA_0622000","PBANKA_0622000.1","Plasmodium berghei ANKA","PbANKA_06_v3:872,823..874,298(+)","conserved Plasmodium protein, unknown function","no","null","PBANKA_0622000","Previous IDs: PB001614.02.0;PBANKA_062200","conserved Plasmodium protein, unknown function","4","4","1","null","null","forward","protein coding","No","900","06","PbANKA_06_v3:872823..874298(+)","PbANKA_06_v3","46","OG6_533443","0"
